id,chapter_code,cn_code,descriptions,msds_classification
1,101,1010,"Live horses, asses, mules and hinnies:",0
2,101,1012900900,Horses:,0
3,101,10121000,Purebred breeding animals,0
4,101,1012100100,Males,0
5,101,1012100200,Females,0
6,101,10129000,"Others in the category of Live horses, asses, mules and hinnies:",0
7,101,1012900100,Imported for immediate slaughter,0
8,101,1012900900,"Others in the category of Live horses, asses, mules and hinnies:",0
9,101,1013000000,Asses,0
10,101,101900,"Others in the category of Live horses, asses, mules and hinnies:",0
11,101,1019030000,Imported for immediate slaughter,0
12,101,1019040000,"Others in the category of Live horses, asses, mules and hinnies:",0
13,102,1020,Live bovine animals:,0
14,102,1022940100,Cattle:,0
15,102,10221000,Purebred breeding animals,0
16,102,1022100100,Dairy:,0
17,102,1022100100,Male,0
18,102,1022100200,Female,0
19,102,1022100300,Others in the category of Live bovine animals:,0
20,102,1022100300,Male,0
21,102,1022100500,Female,0
22,102,102290,Others in the category of Live bovine animals:,0
23,102,10229200,Cows imported specially for dairy purposes,0
24,102,1022920110,Weighing less than 90 kg each,0
25,102,1022920120,Weighing 90 kg or more each,0
26,102,10229400,Others in the category of Live bovine animals:,0
27,102,1022940240,Weighing less than 90 kg each:,0
28,102,1022940240,Male,0
29,102,1022940280,Female,0
30,102,1022940340,Weighing 90 kg or more but less than 200 kg each:,0
31,102,1022940340,Male,0
32,102,1022940380,Female,0
33,102,1022940540,Weighing 200 kg or more but less than 320 kg each:,0
34,102,1022940540,Male,0
35,102,1022940580,Female,0
36,102,1022940620,Weighing 320 kg or more each:,0
37,102,1022940620,For immediate slaughter:,0
38,102,1022940620,Steers,0
39,102,1022940640,Bulls,0
40,102,1022940660,Cows,0
41,102,1022940680,Heifers,0
42,102,1022940740,For breeding:,0
43,102,1022940720,Male,0
44,102,1022940740,Female,0
45,102,1022940820,Others in the category of Live bovine animals:,0
46,102,1022940820,Male,0
47,102,1022940840,Female,0
48,102,1023100000,Buffalo:,0
49,102,10231000,Purebred breeding animals,0
50,102,1023100100,Male,0
51,102,1023100200,Female,0
52,102,10239000,Others in the category of Live bovine animals:,0
53,102,1023900100,Bison,0
54,102,1023900280,Others in the category of Live bovine animals:,0
55,102,1023900280,Weighing less than 90 kg each:,0
56,102,1023900240,Male,0
57,102,1023900280,Female,0
58,102,1023900340,Weighing 90 kg or more but less than 200 kg each:,0
59,102,1023900340,Male,0
60,102,1023900380,Female,0
61,102,1023900540,Weighing 200 kg or more but less than 320 kg each:,0
62,102,1023900540,Male,0
63,102,1023900580,Female,0
64,102,1023900620,Weighing 320 kg or more each:,0
65,102,1023900610,For immediate slaughter,0
66,102,1023900740,For breeding:,0
67,102,1023900720,Male,0
68,102,1023900740,Female,0
69,102,1023900820,Others in the category of Live bovine animals:,0
70,102,1023900820,Male,0
71,102,1023900840,Female,0
72,102,1029000000,Others in the category of Live bovine animals:,0
73,103,1030,Live swine:,0
74,103,1031000000,Purebred breeding animals,0
75,103,1039100000,Others in the category of Live swine:,0
76,103,10391000,Weighing less than 50 kg each,0
77,103,1039100100,Weighing less than 7 kg each,0
78,103,1039100200,Weighing 7 kg or more but less than 23 kg each,0
79,103,1039100300,Weighing 23 kg or more but less than 50 kg each,0
80,103,10392000,Weighing 50 kg or more each,0
81,103,1039200100,Imported for immediate slaughter,0
82,103,1039200200,Others in the category of Live swine:,0
83,103,1039200910,Others in the category of Live swine:,0
84,104,1040,Live sheep and goats:,0
85,104,1041000000,Sheep,0
86,104,1042000000,Goats,0
87,105,1050,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas:",0
88,105,1051100000,Weighing not more than 185 g:,0
89,105,10511000,Chickens,0
90,105,1051100100,"Breeding stock, whether or not purebred:",0
91,105,1051100100,Layer-type (egg-type),0
92,105,1051100200,Broiler-type (meat-type),1
